2026-02-19 02:23:07,014 | INFO | ingestion | ingest_footprint.py:20 | Starting ingestion job
2026-02-19 02:23:07,014 | INFO | ingestion | ingest_footprint.py:21 | Processing year: 2023
2026-02-19 02:23:08,091 | INFO | ingestion | ingest_footprint.py:36 | fetch data complete for year: 2023
2026-02-19 02:23:08,152 | INFO | ingestion | ingest_footprint.py:49 | updating database for year : 2023
2026-02-19 02:23:08,171 | INFO | ingestion | ingest_footprint.py:52 | refresh DBT model for year : 2023
2026-02-19 02:23:08,172 | INFO | ingestion | ingest_footprint.py:55 | Ingestion for year 2023 completed
2026-02-19 02:23:25,648 | INFO | ingestion | ingest_footprint.py:20 | Starting ingestion job
2026-02-19 02:23:25,648 | INFO | ingestion | ingest_footprint.py:21 | Processing year: 2023
2026-02-19 02:23:26,374 | INFO | ingestion | ingest_footprint.py:36 | fetch data complete for year: 2023
2026-02-19 02:23:26,443 | INFO | ingestion | ingest_footprint.py:49 | updating database for year : 2023
2026-02-19 02:23:26,463 | INFO | ingestion | ingest_footprint.py:52 | refresh DBT model for year : 2023
2026-02-19 02:23:30,162 | INFO | ingestion | ingest_footprint.py:55 | Ingestion for year 2023 completed
2026-02-19 07:38:23,471 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 07:38:23,472 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2023
2026-02-19 07:38:24,385 | INFO | ingestion | ingest_footprint.py:35 | fetch data complete for year: 2023
2026-02-19 07:38:24,519 | INFO | ingestion | ingest_footprint.py:48 | updating database for year : 2023
2026-02-19 07:38:24,629 | INFO | ingestion | ingest_footprint.py:51 | refresh DBT model for year : 2023
2026-02-19 07:38:29,029 | INFO | ingestion | ingest_footprint.py:54 | Ingestion for year 2023 completed
